RAZÓN SOCIAL;WEB_INVESTIGADA;EMAIL_INVESTIGADO
"ESTYMA ESTUDIOS Y MANEJOS SA";"estyma.com";"oficina.central@estyma.com"
"Empaquetaduras y Empaques S.A.";"empaquetadurasyempaques.com";"julianazapata@eyesa.com.co"
"INDUSTRIA DE ALIMENTOS ZENU S.A.S.";"zenu.com.co";"No encontrado"
"HUMAX PHARMACEUTICAL S.A.";"https://www.google.com/search?q=humax.com.co";"datospersonales@https://www.google.com/search?q=humax.com.co"
"FLORES EL CAPIRO SA";"capiro.co";"cmuribe@capiro.co"
"Clinica Cardio Vid";"cardiovid.org.co";"comunicaciones@vid.org.co"
"COLOMBIANA DE VIGILANCIA TECNICA LTDA";"covitec.com.co";"info@covitec.com.co"
"Universidad Ces";"ces.edu.co";"No encontrado"
"CAMILO ALBERTO MEJIA Y CIA S.A.S";"camejia.com";"llanos@camejia.com"
"C.I. HERMECO S.A.";"https://www.google.com/search?q=b2b.hermeco.com";"cuentaleaoffcorss@https://www.google.com/search?q=b2b.hermeco.com"
"Alcotra Colombia S.A.S.";"alcotra.com";"info@alcotra.com"
"LABORATORIOS ECAR SA";"ecar.com.co";"gestionhumana@ecar.com.co"
"DROPOPULAR S.A.S.";"No encontrado";"No encontrado"
"DISTRIBUCIONES AGRALBA S.A";"agralba.com";"info@agralba.com"
"TRANSGRANELES S.A.S.";"https://www.google.com/search?q=transgraneles.com.co";"servicioalcliente@solla.com"
"Unidad Medica Y De Diagnostico S.A";"https://www.google.com/search?q=unidadmedicaydiagnostico-ips.com";"autorizacionesumdpbs@umd.com.co"
"Mundial de Granos y Panelas S.A.S";"https://www.google.com/search?q=almin.com.co";"gerencia@https://www.google.com/search?q=almin.com.co"
"COMPAÑIA DE ALIMENTOS COLOMBIANOS CALCO S.A.";"crepesywaffles.com";"contactenos.calco@crepesywaffles.com"
"PRODUCTORA DE INSUMOS AGROPECUARIOS SOMEX S.A.S.";"somex.com.co";"somex@somexnutricion.com"
"ENECON SAS";"enecon.net.co";"enecon@enecon.net.co"
"PPG INDUSTRIES COLOMBIA LTDA";"ppgpaints.com";"techservicerequests@ppg.com"
"LOCERIA COLOMBIANA S.A.S";"vajillascorona.com.co";"servicioalclientems@corona.com.co"
"KP EMPAQUES FLEXIBLES SAS";"kpempaques.co";"info@kpempaques.co"
"COMERCIALIZADORA INTERNACIONAL CARIBBEAN EXOTICS SAS";"https://www.google.com/search?q=caribbeanexotics.com";"carex@https://www.google.com/search?q=caribbeanexotics.com"
"ESCALAR DISTRIBUCIONES S.A.S.";"https://www.google.com/search?q=escalar.com.co";"escalar@https://www.google.com/search?q=escalar.com.co"
"NUTRICERES SAS";"nutriceres.gov.co";"compras@nutriceres.gov.co"
"ACCESORIOS Y VALVULAS APOLO SAS";"todovalvulas.com";"comercial@todovalvulas.com"
"OCEANIC PAINTS SAS";"oceanicsa.com";"info@oceanicsa.com"
"Amtex SAS";"amtex-corp.com";"olga.lopez@amtex-corp.com"
"EUROCERAMICA SAS";"2282-co.all.biz";"No encontrado"
"TERMOELECTRICA EL TESORITO SAS ESP";"celsia.com";"notificacionesjudicialeseltesorito@celsia.com"
"ARANGO HERMANOS SAS";"arangoarango.com";"info@arangoarango.com"
"TEXCOMERCIAL - TEXCO S.A.S.";"https://www.google.com/search?q=texcomercial.com.co";"basesdedatostexco@https://www.google.com/search?q=texcomercial.com.co"
"DISTRIKIA S.A";"https://www.google.com/search?q=distrikia.com.co";"estamoscontigodk@https://www.google.com/search?q=distrikia.com.co"
"TINTATEX S.A.";"tintatex.co";"No encontrado"
"ESTUDIO DE MODA SAS";"estudiodemoda.co";"edmgeneral@estudiodemoda.com.co"
"INGENIERIA Y VIAS S.A.S";"https://www.google.com/search?q=ingenieriayvias.pandape.computrabajo.com";"shirly.rojas@ingevias.com"
"COMERCIALIZADORA INTERNACIONAL ROCAH SAS";"rocah.com.co";"gerencia@rocah.com.co"
"LA SA SOCIEDAD DE APOYO AERONAUTICO S.A.";"saerco.com";"info@saerco.com"
"ZAPATA Y VELASQUEZ SAS";"emis.com";"No encontrado"
"ESPUMAS PLASTICAS SAS";"comodisimos.co";"info@comodisimos.com.co"
"MAQUILA INTERNACIONAL DE CONFECCION S.A.S.";"veritradecorp.com";"info@veritrade-ltd.com"
"Sator S.A.S";"https://www.google.com/search?q=sator.com.co";"notificaciones@https://www.google.com/search?q=sator.com.co"
"TRILLADORA LA MONTAÑA SAS";"directoriodelllano.com";"transporte.montana26@gmail.com"
"GRANIPACK SAS";"granipack.com";"pedidosweb@granipack.com"
"ARUS S.A.S.";"arus.com.co";"No encontrado"
"CRISTAR TABLETOP S.A.S";"https://www.google.com/search?q=cristar.com.co";"mercadeo.cristar@https://www.google.com/search?q=cristar.com.co"
"INVERSIONES FERBIENES SAS";"emis.com";"No encontrado"
"TRANSPORTES DE LA SIERRA S.A.S.";"https://www.google.com/search?q=transdelasierra.com";"No encontrado"
"INVERSIONES CANO PEREZ SAS";"No encontrado";"No encontrado"
"PRODUCTOS ALIMENTICIOS LAS CASERITAS SA";"lascaseritas.com";"recepcion@lascaseritas.com.co"
"PLASTIBOL DE COLOMBIA SAS";"plastibolglobal.com";"info@plastibol.com"
"BODEGA DE MODA S.A.S";"bodegademoda.com";"info@bodegademoda.com"
"RINCARD SAS";"rohde-schwarz.com";"career@rohde-schwarz.com"
"DISTRILECO CAUCASIA SAS";"distrileco.com";"comercial@distrileco.com"
"MONA MINAS SA COLOMBIA";"No encontrado";"pmarin@quintanasas.com"
"SUMMA SERVICIOS CORPORATIVOS INTEGRALES SAS";"gruposumma.com.co";"Comunicaciones@gruposumma.com.co"
"CI CONFECCIONES INDUSTRIALES PARA EXPORTACION SA";"No encontrado";"No encontrado"
"FRIGOCARNES SAS";"frigocarnes.co";"calidad@frigocarnes.com.co"
"CONDUGAS SA BIC";"https://www.google.com/search?q=condugas.com.co";"No encontrado"
"CONSTRUCTORA SUMAS & RESTAS SAS";"constructorasumasyrestassas.com";"recepcion@csyr.com.co"
"MEDICAL SUPP";"https://www.google.com/search?q=mscorp.com.co";"info@https://www.google.com/search?q=mscorp.com.co"
"COLTEJER S.A.";"https://www.google.com/search?q=coltejer.com.co";"notificaciones@https://www.google.com/search?q=coltejer.com.co"
"AVERY DENNISON RETAIL INFORMATION SERVICES COLOMBIA S.A.S.";"label.averydennison.com";"ad.co@averydennison.com"
"ORGANIZACION FERKATIO SAS";"husqvarna.com";"ferkatio@ferkatio.com"
"MANGLA COMBUSTIBLES SAS";"No encontrado";"No encontrado"
"NEGOCIOS Y REPRESENTACIONES S.A.S.";"gnrepresentaciones.co";"ventas@gnrepresentaciones.co"
"EVERTEC PLACETOPAY S.A.S.";"placetopay.com";"protecciondedatos@evertecinc.com"
